order_id,customer_id,vehicle_id,dealer_id,order_date,delivery_date,booking_amount,final_price,discount_amount,order_status,payment_type
37,855,6,21,06-03-2025,27-03-2025,159269,3118549,81451,Cancelled,Loan
38,2008,10,10,21-06-2025,21-07-2025,164666,829278,20722,Delivered,Loan
39,3301,11,9,26-02-2025,03-04-2025,62603,1104340,45660,Delivered,Card
40,3237,12,20,16-08-2024,29-09-2024,78071,1573494,26506,Delivered,Card
41,4348,6,27,09-12-2023,11-01-2024,181415,3149745,50255,Delivered,UPI
42,1399,2,23,27-02-2024,23-03-2024,196035,1632982,67018,Delivered,UPI
43,4073,8,22,24-11-2024,19-12-2024,73420,1253625,46375,Pending,Net Banking
44,1495,7,17,21-08-2025,08-09-2025,154245,1392803,107197,Delivered,Loan
45,2364,12,26,18-03-2024,23-03-2024,197109,1473134,126866,Delivered,UPI
46,3937,6,6,05-12-2023,15-01-2024,182349,3163772,36228,Delivered,Net Banking
47,3070,6,5,26-01-2024,09-02-2024,128364,3117298,82702,Delivered,Loan
48,4949,3,22,16-06-2023,04-07-2023,162576,2463705,36295,Pending,Card
49,4260,11,16,18-08-2023,25-09-2023,199517,1051830,98170,Delivered,Net Banking
50,3645,7,23,31-10-2025,29-11-2025,59620,1406314,93686,Delivered,Loan
51,2672,5,40,06-11-2023,27-11-2023,130194,2734886,65114,Delivered,Net Banking
52,4400,8,32,10-10-2024,21-10-2024,157617,1201845,98155,Cancelled,Card
53,1154,12,1,03-09-2023,15-10-2023,64095,1520367,79633,Delivered,Card
54,2445,2,23,06-02-2025,24-02-2025,171585,1595644,104356,Delivered,UPI
55,392,2,8,28-06-2023,24-07-2023,171200,1623872,76128,Delivered,Card
56,2358,10,17,13-03-2026,02-04-2026,118790,821190,28810,Delivered,Net Banking
57,1094,3,23,03-01-2024,31-01-2024,181198,2367239,132761,Delivered,Loan
58,851,4,22,18-05-2024,09-06-2024,131007,962127,137873,Delivered,Loan
59,3065,8,14,25-04-2024,08-06-2024,89753,1207668,92332,Delivered,Card
60,4395,6,24,25-03-2025,21-04-2025,140180,3185373,14627,Delivered,Loan
61,3997,6,33,03-05-2026,14-05-2026,155500,3082840,117160,Delivered,Loan
62,964,4,27,22-11-2024,07-12-2024,105942,1027522,72478,Delivered,Loan
63,3638,1,20,05-02-2024,11-02-2024,76676,1668100,131900,Delivered,Net Banking
64,787,5,32,03-07-2025,14-08-2025,114371,2661775,138225,Pending,UPI
65,4555,6,21,15-03-2024,25-04-2024,60941,3100860,99140,Delivered,Card
66,4091,5,24,19-11-2023,19-12-2023,82154,2780280,19720,Delivered,Card
67,4985,7,7,30-09-2025,06-10-2025,170616,1469597,30403,Delivered,UPI
68,323,2,29,05-08-2024,12-08-2024,170589,1589542,110458,Delivered,Loan
69,4708,1,32,24-07-2025,01-09-2025,96687,1676629,123371,Pending,Loan
70,2571,11,7,06-02-2026,08-03-2026,78794,1099081,50919,Delivered,Loan
71,4738,4,36,04-08-2023,15-09-2023,166698,978794,121206,Delivered,Card
72,2892,4,28,18-10-2025,23-11-2025,146472,1027046,72954,Cancelled,Loan
73,4319,10,27,21-02-2026,28-02-2026,65150,711799,138201,Delivered,Card
74,4375,9,14,15-05-2024,06-06-2024,106002,917620,32380,Delivered,Loan
75,873,4,40,07-12-2024,12-12-2024,121330,1070494,29506,Delivered,Net Banking
76,2539,3,32,29-11-2023,13-01-2024,109430,2408800,91200,Delivered,Card
77,2570,8,37,08-03-2025,08-04-2025,66398,1174230,125770,Pending,Loan
78,4262,1,13,20-07-2024,25-07-2024,169610,1776487,23513,Delivered,Card
79,2984,11,28,14-12-2024,11-01-2025,152192,1099796,50204,Cancelled,Card
80,2808,3,27,19-12-2025,08-01-2026,119315,2366563,133437,Delivered,UPI
81,1160,9,34,28-06-2025,27-07-2025,77180,827498,122502,Delivered,Card
82,1053,4,11,31-08-2024,09-09-2024,93618,1020833,79167,Delivered,Card
83,3094,2,7,19-03-2024,30-04-2024,193275,1561751,138249,Delivered,Card
84,2730,10,20,08-11-2023,08-12-2023,168359,756515,93485,Pending,Loan
85,3093,6,14,07-12-2023,23-12-2023,133106,3091753,108247,Delivered,UPI
86,897,9,7,17-02-2025,28-03-2025,72368,850188,99812,Delivered,Net Banking
87,1537,9,2,17-05-2026,12-06-2026,65188,902151,47849,Delivered,UPI
88,4859,4,29,10-04-2026,12-05-2026,128881,955523,144477,Delivered,Loan
89,4069,2,17,30-08-2023,28-09-2023,93466,1654721,45279,Delivered,UPI
90,2139,11,34,17-03-2026,06-04-2026,113683,1088010,61990,Delivered,UPI
91,799,2,12,12-12-2025,14-01-2026,192004,1645702,54298,Delivered,Net Banking
92,94,4,1,18-07-2024,24-08-2024,153518,963730,136270,Pending,Net Banking
93,3956,1,37,10-05-2025,15-05-2025,176659,1679431,120569,Delivered,Card
94,3810,7,10,19-08-2023,01-10-2023,50677,1392175,107825,Delivered,Net Banking
95,539,11,27,15-08-2024,31-08-2024,180806,1115409,34591,Delivered,Loan
96,4470,9,34,26-07-2024,25-08-2024,128591,927070,22930,Delivered,Net Banking
97,4705,4,3,12-01-2026,31-01-2026,151481,1047576,52424,Cancelled,Loan
98,3282,5,40,28-04-2024,30-05-2024,128252,2667509,132491,Delivered,UPI
99,3288,1,21,08-01-2025,27-01-2025,151424,1784644,15356,Delivered,Loan
100,4663,1,37,03-09-2023,09-10-2023,110153,1785946,14054,Delivered,Loan
101,938,12,39,17-12-2025,19-01-2026,82344,1576086,23914,Delivered,Loan
102,4577,10,7,21-10-2025,07-11-2025,192823,735902,114098,Delivered,Net Banking
103,3806,1,30,23-07-2025,14-08-2025,80897,1744086,55914,Pending,Card
104,549,10,16,03-12-2025,17-01-2026,86319,735674,114326,Delivered,Loan
105,1408,7,1,30-08-2025,12-09-2025,79643,1444327,55673,Delivered,UPI
106,4509,12,33,01-01-2026,04-02-2026,122442,1493836,106164,Delivered,Card
107,4944,4,13,13-04-2024,11-05-2024,181985,1029500,70500,Cancelled,Card
108,678,1,27,19-02-2026,19-03-2026,112734,1672394,127606,Cancelled,Loan
109,692,8,20,19-10-2024,14-11-2024,148928,1223489,76511,Delivered,Loan
110,1001,1,11,20-12-2023,30-12-2023,62343,1710241,89759,Pending,UPI
111,1234,9,16,10-10-2023,27-10-2023,199777,917251,32749,Delivered,Net Banking
112,4639,10,1,06-10-2023,25-10-2023,168959,751167,98833,Delivered,Net Banking
113,668,8,2,30-06-2024,17-07-2024,140544,1281439,18561,Delivered,Net Banking
114,467,10,20,31-05-2023,09-06-2023,116492,806035,43965,Pending,Net Banking
115,40,6,6,02-09-2025,02-10-2025,191785,3123581,76419,Cancelled,Loan
116,1711,4,29,03-04-2026,02-05-2026,80226,1022140,77860,Delivered,Net Banking
117,3308,8,30,16-10-2023,17-11-2023,52461,1274104,25896,Delivered,Card
118,2541,6,38,22-05-2025,25-06-2025,70979,3128874,71126,Delivered,Net Banking
119,1937,1,15,12-04-2026,01-05-2026,119257,1743589,56411,Delivered,Net Banking
120,3697,6,32,17-04-2025,08-05-2025,80490,3100797,99203,Delivered,Loan
121,4447,5,35,26-01-2024,02-02-2024,165025,2710448,89552,Delivered,Card
122,960,9,6,27-07-2024,23-08-2024,55120,838546,111454,Cancelled,Loan
123,1329,8,4,30-10-2025,03-12-2025,128353,1195660,104340,Cancelled,Net Banking
124,962,2,7,03-05-2024,11-05-2024,173904,1563092,136908,Delivered,Net Banking
125,2966,5,23,06-05-2026,06-06-2026,170936,2700499,99501,Delivered,Net Banking
126,1243,3,25,02-07-2024,12-08-2024,127605,2434927,65073,Delivered,Loan
127,203,4,38,12-11-2024,17-11-2024,117586,956970,143030,Pending,Net Banking
128,4329,6,27,12-12-2024,17-12-2024,149341,3076263,123737,Delivered,Card
129,3341,2,14,13-01-2026,20-02-2026,157417,1655341,44659,Delivered,Net Banking
130,277,10,29,28-10-2023,30-11-2023,165089,720406,129594,Delivered,Net Banking
131,335,11,14,05-02-2026,18-03-2026,87831,1033500,116500,Delivered,Net Banking
132,3838,10,12,08-01-2025,10-02-2025,72386,821714,28286,Delivered,Net Banking
133,1953,6,8,31-07-2025,13-08-2025,95191,3080046,119954,Delivered,UPI
134,3334,9,11,25-09-2025,18-10-2025,92982,887122,62878,Delivered,Card
135,426,3,14,06-10-2023,19-11-2023,116120,2429764,70236,Delivered,UPI
136,3287,12,2,22-11-2024,21-12-2024,109392,1522213,77787,Delivered,UPI
137,3268,10,23,12-11-2023,25-11-2023,139397,790002,59998,Delivered,Net Banking
138,2647,3,39,08-07-2024,01-08-2024,85793,2466317,33683,Delivered,Card
139,3952,12,4,27-03-2026,03-04-2026,119442,1489720,110280,Delivered,Loan
140,2354,9,31,06-10-2024,01-11-2024,77953,875668,74332,Delivered,UPI
141,2097,3,24,21-10-2025,17-11-2025,87531,2408469,91531,Delivered,UPI
142,2655,4,29,23-11-2023,24-12-2023,84606,1010654,89346,Delivered,UPI
143,3930,9,28,16-03-2024,25-04-2024,167081,801055,148945,Delivered,UPI
144,1479,1,15,28-03-2024,09-05-2024,94245,1755906,44094,Delivered,UPI
145,3937,1,6,21-05-2023,04-07-2023,196848,1704534,95466,Delivered,Net Banking
146,1711,10,37,13-03-2026,26-03-2026,198336,716275,133725,Delivered,Net Banking
147,1307,9,32,10-11-2023,27-11-2023,115954,920002,29998,Cancelled,Loan
148,4649,6,27,12-07-2025,28-07-2025,174227,3160352,39648,Pending,Net Banking
149,2538,5,8,16-10-2024,17-11-2024,111460,2787814,12186,Delivered,Card
150,4440,9,33,13-02-2025,18-02-2025,51176,816529,133471,Delivered,UPI
151,339,3,34,04-11-2024,10-12-2024,138729,2408154,91846,Delivered,Card
152,174,3,11,10-04-2026,15-04-2026,178214,2468434,31566,Delivered,Loan
153,2225,2,26,02-03-2024,24-03-2024,180623,1551109,148891,Delivered,UPI
154,456,5,26,27-01-2025,27-02-2025,172281,2755500,44500,Delivered,UPI
155,801,6,11,30-04-2024,30-05-2024,116286,3072739,127261,Delivered,UPI
156,1883,12,26,05-06-2024,13-06-2024,190130,1463835,136165,Pending,Loan
157,2395,12,35,10-01-2025,27-01-2025,53511,1537136,62864,Delivered,Loan
158,4159,8,10,23-07-2025,12-08-2025,154306,1233334,66666,Delivered,UPI
159,3492,1,6,23-02-2025,16-03-2025,166767,1702032,97968,Pending,Card
160,1877,3,26,29-05-2025,04-07-2025,120226,2470215,29785,Delivered,Loan
161,4098,12,7,06-02-2026,22-03-2026,51826,1469335,130665,Delivered,UPI
162,876,10,28,24-07-2023,29-08-2023,84664,713283,136717,Delivered,Card
163,2871,2,37,20-11-2025,03-12-2025,81236,1677884,22116,Cancelled,Card
164,4504,12,23,20-01-2025,02-02-2025,109465,1527538,72462,Delivered,Net Banking
165,31,5,37,26-08-2023,12-09-2023,139251,2665058,134942,Delivered,UPI
166,2816,9,24,30-05-2024,24-06-2024,70270,907261,42739,Delivered,Card
167,4951,11,29,05-06-2024,15-06-2024,93220,1065965,84035,Pending,Net Banking
168,2739,8,20,29-01-2026,10-02-2026,98108,1208795,91205,Delivered,Net Banking
169,1952,10,27,23-08-2025,07-09-2025,84153,738950,111050,Delivered,UPI
170,4237,9,16,16-07-2023,25-07-2023,128742,893387,56613,Delivered,Net Banking
171,3683,4,28,26-05-2025,29-06-2025,95049,964167,135833,Cancelled,Loan
172,2434,4,20,11-05-2026,28-05-2026,129770,1000188,99812,Delivered,Net Banking
173,4251,8,11,08-12-2024,20-01-2025,144870,1191332,108668,Delivered,Loan
174,3327,12,20,26-10-2023,14-11-2023,61274,1454072,145928,Cancelled,UPI
175,1855,5,35,30-01-2024,05-02-2024,82862,2712189,87811,Delivered,Net Banking
176,415,11,2,04-08-2024,12-08-2024,52486,1064744,85256,Delivered,Net Banking
177,2903,8,15,03-06-2025,08-07-2025,83408,1181158,118842,Delivered,Card
178,3322,7,9,20-07-2024,02-08-2024,118602,1394064,105936,Delivered,UPI
179,1809,7,39,26-12-2025,14-01-2026,72158,1476093,23907,Delivered,Loan
180,481,2,22,20-12-2023,03-01-2024,113367,1567642,132358,Delivered,UPI
181,3770,3,12,12-04-2025,12-05-2025,67257,2408542,91458,Delivered,Loan
182,3450,10,1,27-06-2025,02-07-2025,186761,822758,27242,Delivered,Card
183,1782,6,40,25-09-2023,02-11-2023,167538,3118462,81538,Cancelled,Card
184,1294,10,35,28-04-2026,12-06-2026,134683,776468,73532,Delivered,Net Banking
185,3943,8,6,25-10-2023,21-11-2023,55211,1224675,75325,Delivered,Card
186,3534,3,20,16-09-2025,20-10-2025,155561,2428062,71938,Delivered,UPI
187,1662,3,39,23-03-2024,03-05-2024,59944,2485833,14167,Delivered,UPI
188,3542,5,30,05-09-2025,06-10-2025,131727,2772292,27708,Delivered,Net Banking
189,4123,8,16,23-07-2023,17-08-2023,118107,1206613,93387,Delivered,UPI
190,2328,3,16,13-11-2023,25-11-2023,179160,2384998,115002,Delivered,UPI
191,3547,8,24,03-05-2026,25-05-2026,101498,1231114,68886,Delivered,Card
192,4707,7,38,07-05-2025,13-05-2025,133745,1417340,82660,Cancelled,Card
193,2841,3,33,30-10-2024,04-12-2024,137654,2431691,68309,Delivered,Card
194,4186,2,15,01-11-2023,21-11-2023,176196,1684838,15162,Delivered,Loan
195,2037,11,14,03-11-2023,11-11-2023,110293,1092608,57392,Delivered,UPI
196,1465,3,19,14-12-2023,18-01-2024,55672,2423547,76453,Delivered,Loan
197,1564,12,30,06-03-2025,21-03-2025,113367,1575592,24408,Delivered,UPI
198,2656,2,26,29-03-2025,06-04-2025,115152,1657098,42902,Cancelled,Loan
199,786,1,32,23-10-2024,02-11-2024,143452,1694151,105849,Delivered,Net Banking
200,444,10,18,09-07-2024,23-08-2024,121665,826283,23717,Delivered,Loan
201,2793,7,20,29-02-2024,09-03-2024,90965,1469371,30629,Delivered,Loan
202,718,3,21,05-12-2025,24-12-2025,59330,2356126,143874,Pending,UPI
203,4804,2,16,21-01-2025,17-02-2025,141565,1684411,15589,Delivered,Card
204,2541,10,17,12-07-2025,21-07-2025,78855,716676,133324,Delivered,Net Banking
205,2573,6,32,30-10-2024,11-11-2024,163309,3087153,112847,Delivered,Card
206,4219,11,9,16-11-2023,08-12-2023,114495,1032632,117368,Delivered,Net Banking
207,986,12,27,16-05-2024,29-05-2024,190626,1570488,29512,Delivered,Net Banking
208,1946,6,9,28-04-2024,03-05-2024,170114,3189797,10203,Delivered,UPI
209,2562,1,19,26-11-2023,10-12-2023,132416,1775652,24348,Delivered,Net Banking
210,4104,6,27,19-04-2025,01-06-2025,170738,3073244,126756,Cancelled,Loan
211,1556,11,14,09-12-2023,10-01-2024,182431,1133715,16285,Delivered,UPI
212,896,1,6,24-03-2025,16-04-2025,75178,1680530,119470,Cancelled,Card
213,4915,3,32,03-03-2026,09-04-2026,181291,2352520,147480,Delivered,Card
214,314,5,26,09-11-2025,21-11-2025,113720,2688846,111154,Delivered,UPI
215,3340,9,31,06-04-2024,15-05-2024,73224,847643,102357,Delivered,Loan
216,3445,10,3,10-06-2024,07-07-2024,150089,830777,19223,Delivered,Net Banking
217,4562,9,11,17-09-2025,16-10-2025,96162,814530,135470,Delivered,UPI
218,3926,3,32,23-08-2025,07-09-2025,195221,2489535,10465,Delivered,Loan
219,3666,3,13,14-02-2026,20-03-2026,142197,2434746,65254,Delivered,UPI
220,3819,9,15,02-08-2023,08-08-2023,108181,800155,149845,Delivered,Net Banking
221,4946,8,34,24-12-2025,05-02-2026,77063,1192685,107315,Delivered,Loan
222,2327,10,36,25-08-2023,12-09-2023,170966,732087,117913,Cancelled,Loan
223,3175,8,17,18-08-2023,28-09-2023,163975,1280742,19258,Delivered,Net Banking
224,3682,6,5,10-07-2023,19-08-2023,178823,3101494,98506,Cancelled,UPI
225,3482,5,23,16-01-2025,17-02-2025,142037,2778090,21910,Delivered,Loan
226,3295,4,20,06-12-2023,26-12-2023,182063,1066564,33436,Delivered,Net Banking
227,1717,10,10,18-07-2024,24-07-2024,85311,831514,18486,Delivered,Loan
228,3511,6,14,01-06-2023,21-06-2023,174994,3066865,133135,Delivered,Card
229,151,11,13,25-10-2024,05-11-2024,179795,1040772,109228,Delivered,Net Banking
230,887,10,11,10-04-2026,11-05-2026,147301,811759,38241,Delivered,Net Banking
231,1260,1,7,30-07-2023,13-08-2023,65093,1721156,78844,Delivered,Loan
232,2377,6,21,18-01-2025,24-01-2025,139679,3174848,25152,Delivered,UPI
233,4156,12,3,20-07-2024,30-08-2024,198905,1535270,64730,Cancelled,Net Banking
234,3754,4,34,06-07-2025,12-08-2025,85416,964614,135386,Delivered,UPI
235,3210,4,1,28-01-2025,14-02-2025,115203,1016050,83950,Delivered,UPI
236,226,1,38,13-07-2023,23-07-2023,108563,1713704,86296,Delivered,Loan
237,1852,1,32,09-10-2025,31-10-2025,164735,1762120,37880,Pending,Net Banking
238,2574,5,27,03-01-2025,01-02-2025,184213,2749996,50004,Delivered,Card
239,2943,2,34,01-06-2024,14-07-2024,91094,1591017,108983,Delivered,Card
240,3706,6,26,21-02-2026,01-03-2026,93498,3188905,11095,Delivered,UPI
241,1063,4,19,05-11-2025,12-11-2025,150202,992409,107591,Delivered,Net Banking
242,837,3,24,27-12-2023,06-01-2024,185962,2393279,106721,Delivered,UPI
243,2150,2,34,15-03-2025,29-04-2025,182865,1646484,53516,Cancelled,UPI
244,2760,2,27,26-12-2023,25-01-2024,61388,1576923,123077,Delivered,UPI
245,1473,4,38,16-09-2024,29-09-2024,188203,962128,137872,Delivered,Loan
246,3981,11,40,22-12-2025,29-12-2025,100777,1039962,110038,Delivered,Loan
247,1152,8,26,16-08-2025,29-09-2025,194613,1205339,94661,Cancelled,Loan
248,2481,5,10,03-11-2025,08-11-2025,91961,2752056,47944,Delivered,Loan
249,4550,3,17,10-05-2024,18-06-2024,100172,2387008,112992,Delivered,Card
250,3781,4,30,18-03-2024,27-03-2024,146204,1011304,88696,Delivered,UPI
251,901,9,3,06-11-2024,20-11-2024,149784,840318,109682,Delivered,UPI
252,2160,2,39,07-08-2024,27-08-2024,51678,1582845,117155,Delivered,UPI
253,2161,8,6,27-09-2023,03-11-2023,76721,1257458,42542,Cancelled,Card
254,2584,7,39,16-07-2023,30-07-2023,177454,1410368,89632,Delivered,Card
255,2372,2,3,22-10-2023,10-11-2023,70576,1621362,78638,Delivered,Card
256,572,9,7,22-05-2024,03-06-2024,131802,912851,37149,Delivered,Loan
257,704,12,15,13-06-2025,28-06-2025,80367,1507461,92539,Delivered,UPI
258,2538,5,29,21-02-2024,28-02-2024,144675,2658318,141682,Delivered,Loan
259,392,7,30,19-08-2025,30-08-2025,181944,1412429,87571,Delivered,Card
260,567,1,13,13-05-2026,24-05-2026,142717,1721142,78858,Delivered,Net Banking
261,2227,6,31,12-03-2024,25-03-2024,169989,3150032,49968,Delivered,Net Banking
262,4913,5,4,12-03-2025,15-04-2025,57162,2719817,80183,Delivered,Net Banking
263,2176,5,40,16-12-2023,30-01-2024,167906,2652306,147694,Delivered,Card
264,2023,10,7,13-09-2025,02-10-2025,125741,736930,113070,Delivered,Net Banking
265,2462,2,1,02-01-2026,31-01-2026,108758,1685565,14435,Delivered,Net Banking
266,2873,4,5,16-06-2025,26-07-2025,141142,1078080,21920,Delivered,Net Banking
267,1978,2,3,05-01-2026,15-01-2026,189936,1682985,17015,Delivered,Loan
268,2420,7,7,04-06-2023,19-06-2023,109207,1405559,94441,Delivered,Net Banking
269,2365,1,4,30-12-2023,21-01-2024,126177,1674444,125556,Pending,Net Banking
270,3801,10,20,21-05-2025,30-06-2025,186006,740760,109240,Delivered,Loan
271,4234,2,30,27-09-2024,02-10-2024,156243,1625393,74607,Cancelled,UPI
272,439,8,30,15-05-2024,20-05-2024,166527,1271174,28826,Delivered,Card
273,3937,6,37,17-10-2025,10-11-2025,102950,3138287,61713,Cancelled,UPI
274,3639,9,7,26-03-2024,07-04-2024,165959,920632,29368,Delivered,Net Banking
275,427,1,18,02-11-2024,16-12-2024,94622,1783807,16193,Pending,Loan
276,2348,5,6,06-02-2025,05-03-2025,160853,2702395,97605,Delivered,Card
277,1904,4,34,23-02-2026,19-03-2026,139769,983267,116733,Delivered,Card
278,1875,10,7,10-12-2023,14-01-2024,105342,833050,16950,Delivered,Loan
279,1998,1,4,12-12-2025,05-01-2026,150853,1742785,57215,Delivered,Loan
280,1757,12,25,27-03-2025,08-04-2025,169632,1464795,135205,Delivered,Net Banking
281,1774,10,20,07-02-2026,11-03-2026,121577,799428,50572,Delivered,Card
282,1607,12,36,06-04-2025,03-05-2025,148596,1452099,147901,Cancelled,Card
283,1257,8,25,29-12-2024,07-02-2025,74245,1171188,128812,Delivered,UPI
284,1978,5,37,26-01-2026,12-02-2026,176249,2757398,42602,Pending,Net Banking
285,3608,1,28,29-03-2026,03-04-2026,145377,1694242,105758,Delivered,UPI
286,3914,4,21,07-03-2025,10-04-2025,81048,1057155,42845,Cancelled,UPI
287,3184,3,22,16-04-2024,22-04-2024,196090,2386925,113075,Delivered,Loan
288,2155,7,20,07-07-2025,06-08-2025,190277,1435310,64690,Delivered,Net Banking
289,128,2,19,28-03-2024,12-05-2024,144534,1604107,95893,Delivered,Card
290,4910,12,16,02-01-2024,23-01-2024,174632,1555314,44686,Delivered,UPI
291,4432,7,26,19-11-2024,31-12-2024,144926,1450439,49561,Delivered,UPI
292,2698,1,40,21-01-2026,06-02-2026,64049,1687914,112086,Delivered,UPI
293,911,11,4,02-11-2023,12-11-2023,161183,1054357,95643,Delivered,UPI
294,4796,8,13,18-06-2023,28-07-2023,116159,1222388,77612,Pending,UPI
295,1142,2,15,18-04-2026,23-04-2026,195762,1677712,22288,Delivered,Card
296,4349,5,25,16-09-2024,27-10-2024,196979,2776570,23430,Cancelled,Net Banking
297,1048,4,14,31-01-2024,09-02-2024,119126,1073915,26085,Delivered,UPI
298,4046,11,30,27-01-2025,13-03-2025,158184,1075772,74228,Cancelled,Loan
299,2597,12,27,02-09-2024,11-09-2024,83146,1553693,46307,Pending,Card
300,1145,1,27,17-08-2025,04-09-2025,187958,1768607,31393,Delivered,Net Banking
301,2355,2,31,30-03-2025,28-04-2025,108548,1673451,26549,Cancelled,Card
302,1554,7,17,06-11-2024,18-11-2024,112583,1375611,124389,Delivered,Card
303,2596,11,40,06-04-2025,18-05-2025,158482,1122668,27332,Cancelled,Net Banking
304,2244,1,16,25-09-2024,09-10-2024,67752,1730932,69068,Delivered,Card
305,1472,6,9,21-06-2023,30-07-2023,155465,3150893,49107,Cancelled,UPI
306,1433,7,39,23-06-2025,13-07-2025,118167,1369127,130873,Delivered,Loan
307,1356,3,21,25-05-2023,10-06-2023,117439,2381349,118651,Delivered,Loan
308,2035,12,28,11-06-2025,20-07-2025,182984,1475966,124034,Delivered,UPI
309,610,5,15,06-05-2025,25-05-2025,161695,2777855,22145,Delivered,UPI
310,2626,9,32,31-01-2025,07-03-2025,137541,917673,32327,Delivered,Loan
311,4865,11,4,06-12-2024,20-01-2025,93751,1038117,111883,Delivered,Net Banking
312,4996,1,11,30-08-2025,26-09-2025,89831,1764319,35681,Delivered,Loan
313,3197,4,30,13-04-2026,28-04-2026,158122,1059532,40468,Delivered,Net Banking
314,3239,12,2,03-11-2023,21-11-2023,99875,1551792,48208,Delivered,Loan
315,594,9,1,07-11-2024,23-11-2024,140361,856252,93748,Delivered,Net Banking
316,3838,4,30,28-06-2024,08-08-2024,144110,1038734,61266,Pending,Loan
317,2837,2,37,23-06-2024,07-07-2024,168342,1623192,76808,Delivered,UPI
318,603,2,31,11-08-2024,29-08-2024,169550,1587368,112632,Delivered,Net Banking
319,1216,6,26,04-03-2026,07-04-2026,77282,3076993,123007,Delivered,Loan
320,4552,5,11,23-05-2023,10-06-2023,58029,2735476,64524,Delivered,UPI
321,2962,7,16,14-12-2025,21-12-2025,88313,1356788,143212,Delivered,Card
322,2071,11,36,30-12-2023,12-01-2024,172247,1005972,144028,Delivered,Card
323,907,1,31,03-04-2026,11-05-2026,103142,1652437,147563,Delivered,Net Banking
324,1881,12,28,26-10-2025,22-11-2025,192807,1513819,86181,Delivered,Card
325,22,8,9,10-04-2024,15-04-2024,167752,1273209,26791,Cancelled,Loan
326,1129,9,31,14-05-2026,04-06-2026,164518,921820,28180,Delivered,Card
327,4015,10,28,21-07-2023,08-08-2023,135523,736307,113693,Delivered,Loan
328,2896,6,6,29-10-2025,04-11-2025,145271,3185198,14802,Cancelled,UPI
329,4205,2,40,08-10-2023,01-11-2023,83789,1622909,77091,Delivered,Card
330,1704,12,4,06-04-2024,11-04-2024,159665,1535002,64998,Delivered,Net Banking
331,1103,3,16,30-06-2025,25-07-2025,90249,2479964,20036,Delivered,Card
