service_id,vehicle_id,customer_id,service_date,service_type,service_cost,dealer_id,satisfaction_score
196,5,2748,25-04-2025,Engine Repair,26168,40,4
197,8,3947,25-08-2024,General Service,2307,17,3
198,12,2203,24-02-2025,General Service,20335,30,3
199,10,2338,05-12-2023,Wheel Alignment,4764,21,3
200,2,7,08-06-2023,General Service,42188,26,5
201,2,4552,29-04-2025,Battery Replacement,18640,19,2
202,8,3640,01-08-2023,Battery Replacement,5941,1,1
203,8,4901,15-11-2025,Oil Change,29592,29,1
204,3,468,18-06-2024,Battery Replacement,28959,38,4
205,10,4449,06-06-2025,Brake Service,38907,23,3
206,2,4294,08-03-2026,Engine Repair,31326,37,5
207,11,458,18-06-2025,General Service,36511,6,1
208,10,2612,13-06-2024,Battery Replacement,9383,18,1
209,4,4007,07-12-2023,Brake Service,13529,30,4
210,2,3192,21-07-2023,Wheel Alignment,5125,25,3
211,1,626,31-08-2023,Wheel Alignment,7830,4,1
212,3,893,29-04-2024,General Service,24823,38,4
213,11,2592,24-11-2024,Wheel Alignment,5730,38,2
214,10,4235,09-02-2026,Brake Service,23301,9,3
215,1,1763,16-11-2025,Wheel Alignment,10086,37,2
216,5,1959,06-05-2026,Oil Change,15271,21,2
217,3,4796,24-09-2024,Oil Change,30449,35,4
218,2,482,13-11-2023,Brake Service,2035,14,2
219,3,242,29-11-2025,Battery Replacement,38908,39,3
220,3,1852,11-06-2024,General Service,41574,1,1
221,6,2459,10-04-2025,Engine Repair,24618,24,5
222,10,4510,19-11-2025,Wheel Alignment,33272,35,2
223,4,3673,23-01-2026,General Service,30516,26,5
224,2,2624,02-01-2025,Engine Repair,8684,1,3
225,1,4340,03-04-2024,Brake Service,2104,39,1
226,11,1891,08-12-2023,General Service,39520,34,1
227,12,2464,05-03-2024,Wheel Alignment,33538,32,3
228,10,3843,17-06-2023,General Service,6127,13,2
229,3,3729,25-06-2025,Engine Repair,11520,8,2
230,8,4811,14-05-2026,Oil Change,40922,11,2
231,11,612,24-11-2023,Battery Replacement,22398,31,1
232,8,4304,02-12-2023,General Service,25726,33,3
233,8,1322,08-07-2023,Battery Replacement,3812,22,4
234,12,2141,21-12-2023,Brake Service,35080,18,5
235,7,1087,19-11-2024,Wheel Alignment,22665,17,2
236,11,2110,10-10-2023,Battery Replacement,28670,3,5
237,11,2363,05-09-2023,Oil Change,19639,2,2
238,2,3633,23-07-2023,Brake Service,17278,4,1
239,7,4525,26-09-2025,Brake Service,37381,33,3
240,11,4558,19-11-2025,Wheel Alignment,20477,37,1
241,7,2217,26-03-2024,Oil Change,14596,25,1
242,10,4872,22-03-2026,Oil Change,24780,1,1
243,2,3380,22-03-2024,Engine Repair,27968,36,4
244,4,4488,22-11-2023,Brake Service,30967,35,3
245,9,2715,22-02-2024,Brake Service,22127,40,4
246,10,1013,13-06-2024,Brake Service,25420,14,3
247,10,326,27-11-2025,Oil Change,31430,11,5
248,11,4587,24-05-2023,Wheel Alignment,30913,10,3
249,4,2942,02-08-2025,General Service,42381,39,1
250,8,4307,18-11-2023,Wheel Alignment,17670,22,3
251,9,1185,03-03-2024,Wheel Alignment,38971,11,4
252,7,1343,21-11-2025,Oil Change,38924,38,5
253,1,900,28-11-2025,Wheel Alignment,44705,18,4
254,7,2166,22-05-2025,Wheel Alignment,12447,33,5
255,5,3573,31-12-2025,Engine Repair,7629,7,4
256,9,1796,07-08-2024,Engine Repair,4514,33,2
257,1,3,16-06-2024,General Service,4029,2,2
258,7,3463,16-02-2024,General Service,34519,24,4
259,3,4726,29-06-2024,Wheel Alignment,21578,28,5
260,7,1167,01-10-2023,Battery Replacement,41170,11,5
261,5,4354,30-05-2025,General Service,38418,11,4
262,6,1379,31-10-2023,Brake Service,27468,3,3
263,4,4608,31-01-2024,Engine Repair,19785,7,3
264,12,4437,14-06-2024,Brake Service,40664,29,3
265,1,268,19-10-2023,Wheel Alignment,16742,34,4
266,10,2154,12-12-2024,Brake Service,9353,29,4
267,10,4758,03-03-2024,Engine Repair,21801,36,1
268,9,2893,01-02-2024,Wheel Alignment,34063,4,3
269,9,2045,16-07-2023,Oil Change,12834,33,3
270,12,4097,01-03-2025,Engine Repair,22477,29,1
271,8,174,10-02-2026,Brake Service,27812,8,4
272,2,1819,06-09-2025,Brake Service,41891,6,4
273,2,2526,19-04-2025,Brake Service,37753,39,4
274,9,3690,31-03-2024,Brake Service,8538,17,5
275,5,4370,04-03-2026,Brake Service,33933,24,5
276,12,1050,22-08-2025,Engine Repair,13081,37,3
277,5,3678,08-12-2025,Brake Service,2895,26,1
278,11,4491,03-05-2026,Wheel Alignment,30494,14,1
279,7,4799,30-11-2024,Oil Change,29580,20,3
280,11,4312,15-11-2025,Oil Change,23946,1,5
281,9,1686,17-12-2025,General Service,17782,16,3
282,12,805,03-05-2025,Wheel Alignment,35745,23,3
283,5,879,05-12-2025,Brake Service,21435,11,4
284,6,2306,25-11-2025,Engine Repair,43178,10,1
285,12,3945,12-01-2024,General Service,14848,6,3
286,6,4461,05-06-2023,General Service,37288,29,4
287,5,2112,11-02-2026,General Service,11331,14,4
288,5,2790,03-11-2023,Oil Change,19845,31,3
289,11,1919,06-09-2024,Oil Change,14442,29,5
290,8,2323,08-07-2024,Engine Repair,10324,14,5
291,1,2068,23-05-2024,Brake Service,21279,5,1
292,12,4792,16-02-2025,Brake Service,41905,32,1
293,4,828,28-06-2024,Oil Change,2934,18,2
294,2,3549,28-06-2023,Wheel Alignment,6266,24,5
295,7,2173,20-12-2025,Brake Service,13118,32,1
296,6,1695,10-12-2023,Brake Service,17263,16,5
297,12,1813,16-08-2024,Engine Repair,27034,9,5
298,1,4855,21-07-2023,Battery Replacement,31517,5,1
299,2,3556,03-07-2025,General Service,9239,32,1
300,6,2507,17-08-2023,General Service,31392,23,4
301,12,3193,29-06-2023,Engine Repair,7371,19,1
302,9,4100,15-07-2024,Engine Repair,5122,14,5
303,5,1457,08-04-2026,Wheel Alignment,13072,27,1
304,8,4591,06-10-2023,General Service,5197,30,3
305,12,812,08-09-2023,General Service,28206,10,4
306,5,3452,12-12-2023,Battery Replacement,31026,33,2
307,9,1968,27-04-2025,Engine Repair,23545,23,3
308,9,1034,13-06-2023,General Service,31856,27,2
309,4,1145,09-02-2025,Battery Replacement,32634,39,2
310,5,1517,21-02-2026,Brake Service,37781,14,4
311,3,238,08-04-2025,General Service,24284,38,2
312,2,4022,19-10-2024,Engine Repair,10985,13,3
313,7,3361,03-08-2025,Engine Repair,18454,5,4
314,8,2747,15-10-2024,Brake Service,13165,40,1
315,2,1245,21-04-2024,General Service,6121,34,5
316,3,2954,09-02-2026,Oil Change,37626,29,1
317,8,1950,28-01-2024,Wheel Alignment,6850,24,5
318,4,4758,20-08-2024,General Service,15411,16,3
319,5,1702,21-03-2025,Battery Replacement,12368,19,5
320,9,4679,17-03-2024,Oil Change,3680,36,4
321,1,4314,18-05-2023,General Service,18092,5,5
322,2,2979,16-06-2023,Oil Change,5031,15,4
323,6,4408,08-12-2023,Wheel Alignment,40856,3,1
324,9,3610,30-04-2024,Brake Service,10408,21,5
325,5,4780,14-08-2024,Wheel Alignment,34706,20,1
326,3,980,12-11-2024,Oil Change,10162,35,3
327,12,1122,11-08-2023,Brake Service,41159,13,5
328,2,674,11-02-2025,General Service,26799,36,3
329,11,4146,04-02-2026,Battery Replacement,33130,17,1
330,4,1835,30-09-2023,Oil Change,39546,30,5
331,6,4952,10-07-2024,Engine Repair,6691,21,2
332,3,4165,08-03-2024,Engine Repair,17389,33,4
333,8,3228,21-03-2024,General Service,28554,1,3
334,12,4737,17-04-2025,Brake Service,42924,16,2
335,7,1371,13-03-2026,Engine Repair,11793,13,3
336,9,673,03-04-2024,General Service,16959,12,4
337,6,167,20-10-2023,Wheel Alignment,31881,14,3
338,8,4661,18-06-2025,Wheel Alignment,34937,31,4
339,12,3221,10-06-2023,Wheel Alignment,15150,24,3
340,10,4688,26-11-2023,Brake Service,15421,29,1
341,11,4641,16-11-2024,General Service,32938,10,2
342,1,4115,06-05-2026,Brake Service,9318,10,2
343,6,3418,17-05-2025,Oil Change,3702,9,2
344,9,545,09-12-2025,General Service,13227,37,4
345,11,2030,02-03-2025,Engine Repair,24011,22,1
346,11,818,10-05-2024,Wheel Alignment,36804,27,3
347,7,2093,04-11-2023,Brake Service,8814,4,5
348,3,4506,21-07-2025,Oil Change,2991,1,4
349,1,1855,15-11-2024,Wheel Alignment,25314,30,2
350,6,4418,22-09-2023,Oil Change,7293,19,2
351,8,2634,14-06-2024,Wheel Alignment,6271,8,1
352,11,3899,02-03-2025,Battery Replacement,13841,13,2
353,12,3976,10-05-2024,General Service,6240,14,2
354,8,4842,08-08-2023,Brake Service,2045,15,2
355,8,299,20-10-2023,Battery Replacement,33714,13,2
356,5,22,11-01-2026,Battery Replacement,42161,26,1
357,12,2159,30-11-2023,Brake Service,39127,7,2
358,8,4721,14-03-2024,Wheel Alignment,44526,37,4
359,9,419,11-10-2024,Oil Change,30404,1,4
360,1,2575,13-05-2024,Battery Replacement,18169,20,5
361,4,1650,21-10-2024,Oil Change,42483,15,5
362,1,4831,26-01-2026,Battery Replacement,27736,29,4
363,8,4435,17-01-2026,Oil Change,41423,40,5
364,11,1524,03-04-2024,Engine Repair,33290,26,5
365,4,23,14-11-2023,General Service,23473,20,3
366,6,4449,14-01-2026,Engine Repair,41205,39,1
367,8,3388,11-11-2023,Oil Change,4193,14,1
368,12,3438,21-02-2024,Oil Change,32442,32,2
369,2,650,21-04-2024,Wheel Alignment,43113,40,1
370,1,4875,01-04-2025,Engine Repair,2927,29,1
371,9,2715,14-09-2024,Wheel Alignment,41764,21,5
372,9,2890,17-09-2024,Oil Change,24463,24,5
373,8,1041,03-08-2025,Wheel Alignment,4806,7,1
374,9,2716,17-07-2023,Battery Replacement,8553,5,1
375,1,4942,06-06-2023,Oil Change,36465,38,5
376,11,2074,14-05-2025,Brake Service,36607,18,1
377,9,2254,04-04-2024,Oil Change,21533,40,5
378,10,4779,12-12-2024,Battery Replacement,19480,34,4
379,7,1541,28-11-2024,Wheel Alignment,26088,10,5
380,1,4316,25-04-2024,Brake Service,36349,14,4
381,7,4782,22-01-2026,Oil Change,18105,28,2
382,2,4757,12-11-2023,Engine Repair,25180,22,4
383,3,2375,23-11-2024,Brake Service,36887,32,4
384,9,3668,23-11-2024,Oil Change,22132,24,4
385,1,4122,22-09-2025,Battery Replacement,26764,13,2
386,11,1760,20-07-2023,Brake Service,27007,9,4
387,9,206,01-03-2026,Battery Replacement,24537,39,2
388,4,485,31-08-2023,Brake Service,31538,34,4
389,9,2611,30-03-2026,Battery Replacement,32150,24,4
390,11,1152,06-11-2023,General Service,39990,31,1
391,2,3633,29-11-2025,Wheel Alignment,29925,9,1
392,12,1588,12-02-2026,Battery Replacement,10768,5,4
393,12,4109,14-11-2024,Engine Repair,20589,24,5
394,3,3935,20-12-2025,Battery Replacement,3290,22,3
395,10,2118,13-01-2025,Wheel Alignment,18699,36,1
396,8,589,17-12-2024,Battery Replacement,5470,1,4
397,4,2512,07-09-2024,Oil Change,34649,3,3
398,8,1510,13-07-2023,Engine Repair,31614,27,5
399,8,2213,29-09-2023,Wheel Alignment,23145,30,4
400,9,636,07-03-2026,Engine Repair,12330,12,3
401,7,929,20-08-2024,Brake Service,2534,3,4
402,11,3972,11-04-2024,Engine Repair,16271,17,4
403,9,2049,11-07-2025,Brake Service,33497,24,1
404,2,3703,03-02-2026,Engine Repair,16984,28,1
405,2,1412,07-07-2023,Oil Change,38616,27,5
406,12,4879,19-03-2024,Battery Replacement,22147,24,3
407,4,1384,21-04-2026,Wheel Alignment,41255,28,4
408,11,1507,17-02-2025,General Service,7238,30,2
409,6,123,01-03-2026,General Service,6487,11,1
410,2,2441,04-03-2026,Oil Change,37839,2,3
411,12,2449,06-04-2026,Battery Replacement,39429,2,1
412,1,3142,20-02-2026,Engine Repair,6294,40,1
413,12,1494,30-09-2025,Engine Repair,38515,24,5
414,7,1867,15-07-2023,Oil Change,35618,4,4
415,3,4966,11-09-2023,Brake Service,5707,2,3
416,1,3459,08-11-2024,Wheel Alignment,2687,28,5
417,10,864,12-09-2024,Engine Repair,27200,14,2
418,12,250,01-12-2025,Wheel Alignment,39160,28,2
419,2,3845,04-03-2024,Battery Replacement,44403,24,3
420,6,4522,15-09-2024,Wheel Alignment,6785,33,2
421,12,2582,29-06-2023,Oil Change,10636,27,1
422,1,2604,04-06-2024,Engine Repair,4510,37,5
423,1,654,28-12-2025,Engine Repair,25495,14,4
424,8,1732,27-07-2023,Wheel Alignment,5664,33,3
425,10,3853,07-12-2023,Engine Repair,7407,33,2
426,3,2388,22-04-2026,Engine Repair,2067,39,3
427,6,3251,18-09-2024,Wheel Alignment,35862,14,3
428,6,2772,23-11-2024,General Service,18001,8,3
429,3,4438,11-11-2024,Brake Service,43178,1,4
430,9,1470,05-04-2025,Oil Change,27093,10,2
431,4,4429,17-05-2024,Wheel Alignment,31692,31,2
432,6,2956,16-05-2026,Oil Change,9402,10,2
433,4,3158,01-11-2025,Oil Change,14080,11,3
434,7,3036,22-05-2023,Engine Repair,32859,2,4
435,6,2839,21-05-2023,Wheel Alignment,14786,28,3
436,12,3250,14-01-2024,Oil Change,4366,4,5
437,1,4641,30-01-2025,Brake Service,44954,20,5
438,12,4529,30-08-2023,Battery Replacement,38785,30,1
439,7,3625,30-10-2024,Brake Service,27475,25,5
440,8,2657,04-10-2025,Wheel Alignment,40859,33,3
441,5,1894,23-06-2024,Oil Change,26392,10,2
442,9,2503,08-01-2025,Brake Service,15011,23,4
443,4,1612,14-03-2024,Wheel Alignment,16928,35,4
444,12,1106,11-11-2024,General Service,5084,21,1
445,3,2457,28-02-2024,Oil Change,18363,26,5
446,1,4933,20-08-2024,Oil Change,31127,1,5
447,8,719,06-09-2025,General Service,19063,39,5
448,1,1946,06-03-2026,Oil Change,40553,16,3
449,4,621,11-07-2024,Brake Service,8154,36,1
450,11,3000,07-09-2025,Engine Repair,27442,23,2
451,9,3586,11-03-2026,Brake Service,23624,25,2
452,2,3984,21-12-2025,Battery Replacement,38079,29,5
453,9,3607,05-10-2025,Brake Service,40870,24,2
454,5,778,09-07-2024,Battery Replacement,26582,35,1
455,8,1971,01-07-2025,Battery Replacement,6008,13,5
456,11,2737,10-07-2024,Battery Replacement,19704,8,4
457,10,4416,30-06-2023,General Service,22056,6,1
458,7,2407,06-03-2024,General Service,29791,18,3
459,7,1012,04-04-2025,Battery Replacement,37640,39,2
460,2,2564,14-06-2024,Oil Change,42936,2,3
461,11,4546,01-08-2024,Oil Change,12695,7,5
462,9,2870,26-09-2025,General Service,44029,3,4
463,10,3131,30-03-2024,General Service,20561,12,1
464,5,4060,28-10-2023,Engine Repair,17776,35,5
465,5,4070,26-04-2025,General Service,32992,29,5
466,3,4457,02-11-2023,General Service,42062,35,4
467,4,2689,03-10-2023,Engine Repair,32687,13,4
468,12,321,05-07-2024,Brake Service,42099,38,3
469,9,490,28-08-2025,Battery Replacement,28666,4,4
470,7,972,26-03-2025,General Service,33747,38,4
471,11,1167,21-09-2025,Brake Service,38322,28,2
472,12,2777,10-02-2024,Wheel Alignment,13924,11,5
473,2,4087,16-10-2023,Engine Repair,18865,22,5
474,7,2556,30-04-2026,General Service,12426,33,4
475,10,815,02-03-2026,Oil Change,31539,31,1
476,1,275,18-08-2025,Battery Replacement,39524,14,2
477,8,848,15-03-2026,Engine Repair,17770,22,4
478,5,673,19-10-2023,Battery Replacement,15923,35,3
479,4,1172,11-04-2026,Oil Change,28753,12,4
480,4,4227,03-07-2023,Oil Change,41516,12,1
481,10,3665,20-01-2025,Battery Replacement,42333,25,5
482,8,1720,02-07-2024,General Service,15066,1,2
483,8,41,13-05-2026,Wheel Alignment,8718,5,4
484,8,1617,25-06-2023,Wheel Alignment,43599,18,2
485,3,2587,15-01-2026,Wheel Alignment,42954,32,3
486,12,620,06-03-2024,Engine Repair,11457,34,4
487,3,4454,02-07-2024,Wheel Alignment,40092,18,4
488,4,873,27-12-2024,Brake Service,31425,40,4
489,10,2160,23-09-2023,Brake Service,38648,3,4
490,5,3610,04-09-2023,Engine Repair,14510,5,2
491,6,3864,01-05-2024,General Service,12560,11,2
492,3,2026,10-06-2024,Wheel Alignment,24312,31,3
493,9,4492,18-04-2025,Battery Replacement,40944,38,2
494,6,2217,20-06-2023,Brake Service,5165,11,4
495,5,559,07-01-2025,Oil Change,30482,26,5
496,6,867,07-06-2025,General Service,39102,20,1
497,8,2745,12-06-2024,General Service,20183,24,2
498,3,3768,06-08-2024,Oil Change,39789,15,4
499,6,4557,17-10-2024,Engine Repair,10276,15,4
500,12,3879,13-03-2024,Wheel Alignment,43089,36,4
501,8,2647,06-05-2026,Brake Service,19864,39,1
502,5,795,21-04-2024,Wheel Alignment,30922,19,3
503,2,4621,09-08-2024,Engine Repair,20388,8,5
504,10,202,03-04-2026,Brake Service,43903,24,5
505,11,4672,25-03-2024,Battery Replacement,3024,3,5
506,12,2977,07-07-2023,Battery Replacement,43550,9,1
