loan_id,order_id,loan_amount,interest_rate,loan_tenure_months,emi_amount,loan_status,credit_score_band,default_flag
45,12949,862586,8.48,48,17970.54,Active,Medium,0
46,14483,1529870,10.96,60,25497.83,Active,Medium,1
47,150,604622,8.35,48,12596.29,Active,High,0
48,11737,1125596,14.17,48,23449.92,Active,High,0
49,388,693105,13.96,60,11551.75,Active,Low,1
50,3947,984208,8.78,60,16403.47,Active,Low,0
51,13403,778161,13.69,24,32423.38,Active,High,0
52,1374,1126635,11.59,24,46943.12,Active,High,1
53,2885,1952042,7.65,72,27111.69,Active,High,1
54,14043,1163114,12.03,24,48463.08,Active,Low,1
55,11361,1153978,11.29,36,32054.94,Active,Medium,1
56,2992,539192,11.89,24,22466.33,Active,Medium,1
57,11596,2045032,8.75,72,28403.22,Active,Medium,1
58,10582,521616,14.23,36,14489.33,Default,Low,0
59,14868,627139,14.4,24,26130.79,Default,High,0
60,14425,2776825,14.33,72,38567.01,Active,Low,1
61,3025,502146,11.31,72,6974.25,Active,High,0
62,252,1322627,14.27,36,36739.64,Closed,High,1
63,12147,719161,10.12,36,19976.69,Active,High,1
64,11439,989338,9.72,24,41222.42,Closed,Medium,1
65,7093,970796,12.89,36,26966.56,Default,Low,0
66,933,1249569,8.25,24,52065.38,Active,High,1
67,7218,1309303,9.06,24,54554.29,Default,High,1
68,3685,1984665,9.37,60,33077.75,Default,Medium,0
69,8369,614140,10.96,24,25589.17,Active,High,0
70,9479,1274946,11.91,48,26561.38,Active,Low,0
71,11725,864985,8.73,24,36041.04,Default,Low,0
72,7418,1195830,14.27,48,24913.12,Active,Low,1
73,10505,2494194,11.29,24,103924.75,Active,Low,1
74,10516,1089147,12.16,24,45381.12,Closed,Low,0
75,13510,798825,8.27,24,33284.38,Active,Medium,0
76,7173,659487,12.87,36,18319.08,Closed,Low,0
77,3329,624117,9.82,36,17336.58,Active,Low,0
78,5024,1028096,8.67,72,14279.11,Closed,High,0
79,2215,1220908,13.17,48,25435.58,Active,Medium,0
80,2217,678238,13.61,72,9419.97,Active,High,1
81,14796,899274,10.51,36,24979.83,Active,Medium,1
82,2860,1185701,9.27,72,16468.07,Active,Low,0
83,4025,858164,12.49,48,17878.42,Closed,High,1
84,2761,853327,7.88,36,23703.53,Active,High,0
85,3291,685056,11.92,72,9514.67,Active,Low,1
86,10044,1634469,8.65,72,22700.96,Active,High,0
87,2627,1364654,12.6,72,18953.53,Closed,High,1
88,4610,2538011,7.94,60,42300.18,Closed,Medium,1
89,13284,920747,14.31,36,25576.31,Active,Medium,1
90,12473,686564,9.08,36,19071.22,Active,Low,1
91,11740,1335105,10.27,36,37086.25,Active,Medium,1
92,6662,1412087,11.07,36,39224.64,Active,Low,0
93,13940,1146392,9.98,60,19106.53,Active,Medium,1
94,7360,798720,12.48,48,16640,Default,Medium,0
95,3205,1044971,10.17,72,14513.49,Closed,Medium,1
96,11753,887157,8.24,48,18482.44,Active,Medium,1
97,6127,839595,8.5,72,11661.04,Active,High,0
98,14630,1074755,12.16,36,29854.31,Active,Medium,0
99,2679,1177729,9.52,24,49072.04,Active,Low,0
100,3709,1072144,7.95,60,17869.07,Active,Low,1
101,9988,1360091,10.54,60,22668.18,Active,Medium,0
102,2806,1616271,12.54,24,67344.62,Active,Low,1
103,1454,2165035,10.52,60,36083.92,Default,High,1
104,14422,1144568,9.51,60,19076.13,Active,Low,0
105,10000,2015784,11.27,24,83991,Default,Low,0
106,2320,486411,11.81,36,13511.42,Closed,Low,1
107,13883,728025,8.79,36,20222.92,Closed,Medium,0
108,12609,857198,14.04,60,14286.63,Active,High,0
109,7334,466484,13.22,60,7774.73,Active,High,1
110,3652,629569,12.46,48,13116.02,Default,Medium,0
111,2289,2121967,10.09,48,44207.65,Active,Medium,1
112,3624,962064,8.83,72,13362,Active,High,1
113,13619,1252444,8.07,72,17395.06,Active,Medium,1
114,4879,1716365,9.09,60,28606.08,Closed,High,1
115,1714,1246397,8.44,48,25966.6,Default,Medium,0
116,14506,2058384,11.27,60,34306.4,Active,High,1
117,3590,2688004,13.85,60,44800.07,Active,Low,0
118,9467,788812,12.03,72,10955.72,Active,High,1
119,5156,720407,13.25,48,15008.48,Active,Medium,1
120,12595,492503,12.7,24,20520.96,Default,High,0
121,13674,847852,10.2,60,14130.87,Active,Low,0
122,3670,833704,7.52,36,23158.44,Active,Medium,1
123,14325,822153,10.04,72,11418.79,Closed,Low,1
124,13525,2357577,8.14,72,32744.12,Active,High,0
125,8385,844705,8.34,24,35196.04,Active,Medium,1
126,14211,671780,9.19,60,11196.33,Active,Low,1
127,4388,661761,8.21,48,13786.69,Active,Low,0
128,9124,1151946,10.98,36,31998.5,Active,Low,0
129,7895,2046984,7.74,72,28430.33,Active,High,0
130,1490,736594,12.84,60,12276.57,Active,Medium,1
131,1607,1203623,9.78,72,16716.99,Active,High,1
132,8595,539897,9.49,60,8998.28,Active,Low,1
133,8529,1842515,12.42,60,30708.58,Active,Medium,1
134,1403,988530,10.36,48,20594.38,Active,High,1
135,9388,625149,10.7,48,13023.94,Active,High,0
136,3520,534111,13.65,60,8901.85,Active,High,1
137,3298,1286040,7.84,60,21434,Active,Medium,0
138,1007,1352295,12.72,72,18781.88,Active,Medium,0
139,2792,757653,9.82,36,21045.92,Active,High,0
140,2705,2124163,11.5,72,29502.26,Active,High,1
141,5614,1249094,13.4,36,34697.06,Active,Low,0
142,14031,623905,10.18,48,12998.02,Active,High,1
143,5684,1923556,12.13,72,26716.06,Active,Low,1
144,12288,1082012,13.77,24,45083.83,Active,Low,0
145,5401,744514,8.67,60,12408.57,Active,Low,1
146,2358,1017607,10.34,48,21200.15,Active,Low,1
147,14681,502700,12.09,36,13963.89,Default,Low,1
148,291,937345,9.02,48,19528.02,Default,High,0
149,12535,1299803,7.71,48,27079.23,Active,Low,1
150,5909,868475,8.62,60,14474.58,Active,Low,0
151,13819,841227,12.1,24,35051.12,Active,Low,1
152,6595,1067964,11.18,60,17799.4,Default,High,1
153,89,993579,13.47,60,16559.65,Active,Low,0
154,12999,905805,13.85,72,12580.62,Active,Medium,0
155,2233,2203608,10.89,72,30605.67,Closed,Medium,0
156,8274,1900357,14.16,24,79181.54,Active,Medium,1
157,9323,964296,11.5,60,16071.6,Active,Medium,0
158,7965,1111035,12.93,36,30862.08,Active,Low,0
159,9038,1991004,11.35,72,27652.83,Active,High,0
160,11409,650326,11.49,60,10838.77,Active,High,1
161,8392,1783779,10.74,72,24774.71,Closed,Low,0
162,11750,2460985,12.64,48,51270.52,Active,Medium,0
163,1057,1924851,10.43,48,40101.06,Closed,High,0
164,904,605186,13.75,36,16810.72,Closed,Low,0
165,14221,1188395,14.12,24,49516.46,Active,Medium,1
166,13627,921456,12.04,60,15357.6,Active,Medium,0
167,2040,1074887,10.32,48,22393.48,Active,Low,0
168,1612,616432,8.83,24,25684.67,Closed,Medium,0
169,14520,1040923,8.98,72,14457.26,Active,High,0
170,737,1032597,10.68,36,28683.25,Closed,Low,0
171,5964,1070389,8.47,60,17839.82,Active,High,0
172,11876,1123092,11.27,72,15598.5,Closed,Medium,1
173,7309,565613,13.91,72,7855.74,Active,Low,1
174,9053,1082271,9.82,36,30063.08,Active,Low,0
175,6178,530406,8.28,24,22100.25,Active,Medium,1
176,13556,1030371,12.16,36,28621.42,Closed,Low,1
177,2865,2082739,11.53,72,28926.93,Active,Low,1
178,10057,707302,14.27,72,9823.64,Active,Medium,0
179,1419,963674,9.98,60,16061.23,Closed,Low,0
180,5915,595395,9.31,48,12404.06,Closed,Low,1
181,4149,960018,13.2,48,20000.38,Active,Low,0
182,13110,602677,10.48,60,10044.62,Active,Medium,1
183,13686,1107592,8.64,36,30766.44,Active,Medium,1
184,1011,1062472,12.89,60,17707.87,Default,Medium,0
185,8635,1244312,10.41,48,25923.17,Active,High,0
186,7589,954481,10.58,36,26513.36,Active,High,0
187,4190,577974,13.01,24,24082.25,Active,Low,1
188,14954,559237,8.7,48,11650.77,Active,Medium,1
189,10529,988596,8.84,60,16476.6,Active,Medium,1
190,9825,1320692,12.29,36,36685.89,Active,Medium,1
191,5146,1374021,11.57,24,57250.88,Active,Low,0
192,8938,1798941,8.09,24,74955.88,Active,Medium,1
193,9616,853298,8.97,72,11851.36,Active,High,1
194,8701,466206,13.73,36,12950.17,Active,High,0
195,3801,527104,11.53,48,10981.33,Active,High,1
196,10382,1335297,8.18,24,55637.38,Closed,Medium,0
197,3746,633381,13.13,72,8796.96,Active,High,1
198,9074,1154761,8.93,60,19246.02,Active,Low,0
199,11362,2260857,9.02,36,62801.58,Active,Low,0
200,8049,819094,12.13,72,11376.31,Active,Low,0
201,1386,2838349,10.88,24,118264.54,Active,Medium,1
202,10183,706315,13.95,72,9809.93,Active,Medium,0
203,4873,1664303,11.9,60,27738.38,Active,High,0
204,736,597826,13.98,24,24909.42,Active,High,1
205,5713,1158040,8.07,72,16083.89,Active,Low,0
206,5423,1096378,8.23,72,15227.47,Active,Low,0
207,4013,957192,7.64,72,13294.33,Closed,Medium,1
208,2859,1832011,14.01,60,30533.52,Active,Medium,0
209,9897,1175025,13.45,60,19583.75,Active,Medium,1
210,4537,711693,11.99,60,11861.55,Active,High,1
211,4581,911236,12.34,24,37968.17,Closed,Low,0
212,7656,767050,9.62,60,12784.17,Closed,High,1
213,5999,1202243,13.23,24,50093.46,Default,Low,0
214,885,1715062,10.88,24,71460.92,Active,Low,1
215,9027,593463,13.42,48,12363.81,Closed,Low,0
216,3234,1114904,13.96,24,46454.33,Default,Low,1
217,5602,731948,12.83,60,12199.13,Default,High,0
218,2418,1938015,13.79,48,40375.31,Active,Low,1
219,5359,756748,13.9,24,31531.17,Default,Low,1
220,11010,614706,13.41,72,8537.58,Active,Medium,1
221,4949,1012351,8.39,36,28120.86,Closed,Low,1
222,5934,1937467,12.9,24,80727.79,Active,Low,0
223,2920,649446,10.71,60,10824.1,Active,High,1
224,10839,867715,10.55,72,12051.6,Active,High,0
225,5599,489883,7.99,72,6803.93,Closed,Low,1
226,3699,1217777,11.23,24,50740.71,Active,High,0
227,12168,1215423,12.54,36,33761.75,Active,Medium,0
228,9956,873669,11.53,36,24268.58,Active,Medium,1
229,14085,1216529,11.8,72,16896.24,Active,Low,0
230,6881,771162,13.4,24,32131.75,Active,Low,1
231,9159,2644113,11.47,72,36723.79,Active,Low,0
232,10217,570410,10,24,23767.08,Closed,High,1
233,4402,1094262,11.79,48,22797.12,Closed,Low,0
234,10805,1893760,12.48,48,39453.33,Active,Low,0
235,5932,1092019,9.22,60,18200.32,Active,High,0
236,1523,2337484,11.94,48,48697.58,Default,Medium,0
237,11307,1005752,7.99,36,27937.56,Active,Low,0
238,2563,1133452,12.08,72,15742.39,Active,High,0
239,2129,1889322,8.27,24,78721.75,Active,High,1
240,1087,830114,14.3,24,34588.08,Active,High,1
241,1963,2289943,13.75,24,95414.29,Active,Medium,0
242,5621,797226,9.42,60,13287.1,Closed,High,1
243,14991,2745381,12.31,36,76260.58,Default,Medium,1
244,12838,819938,8.4,48,17082.04,Active,Low,1
245,3066,799264,7.81,72,11100.89,Active,Low,0
246,12723,742007,7.93,72,10305.65,Default,High,1
247,13287,760992,10.39,24,31708,Active,High,0
248,3616,1229081,8.9,60,20484.68,Active,Medium,1
249,11374,1169020,8.74,72,16236.39,Active,Low,0
250,12364,565779,11.5,60,9429.65,Active,Low,0
251,8291,2655304,9.98,24,110637.67,Closed,High,1
252,9069,1271426,8.78,48,26488.04,Default,High,0
253,1347,1147331,12.68,72,15935.15,Closed,High,0
254,8770,666092,13.15,36,18502.56,Default,High,0
255,11194,828291,8.6,48,17256.06,Active,High,0
256,3571,1082315,14.45,72,15032.15,Active,Medium,0
257,1122,1910739,14.25,72,26538.04,Active,Low,1
258,1534,1118977,9.84,24,46624.04,Active,High,0
259,2944,1211179,14.26,24,50465.79,Active,Medium,0
260,11829,936085,7.55,60,15601.42,Active,High,1
261,9361,944635,10.06,24,39359.79,Closed,Low,1
262,7013,1208889,11.31,72,16790.12,Active,High,0
263,6889,643303,10.02,60,10721.72,Active,High,0
264,11337,811851,14.43,24,33827.12,Closed,Medium,0
265,12465,1214456,8.26,48,25301.17,Active,Medium,1
266,14943,2421823,10.58,72,33636.43,Closed,Medium,1
267,4246,2415359,9.95,24,100639.96,Active,High,0
268,1633,1164627,13.16,24,48526.12,Active,High,0
269,4063,1029196,9.85,36,28588.78,Active,High,1
270,9376,1206860,9.59,48,25142.92,Active,High,0
271,13010,1179295,10.89,24,49137.29,Active,Low,1
272,11888,717942,9.13,24,29914.25,Closed,High,1
273,12460,2419484,11.29,36,67207.89,Active,High,0
274,5768,2549633,13.61,72,35411.57,Closed,High,0
275,3015,674286,11.79,48,14047.62,Active,Medium,1
276,10472,1015493,10.39,36,28208.14,Closed,High,1
277,3729,2106653,13.53,24,87777.21,Active,Low,1
278,13318,2375457,13.64,24,98977.38,Default,Low,1
279,3853,868403,11.2,36,24122.31,Active,High,1
280,6162,909536,13.42,36,25264.89,Active,Low,1
281,100,1443885,11.53,48,30080.94,Active,Low,0
282,12062,468745,13.37,36,13020.69,Active,Low,1
283,8123,1399003,12.43,24,58291.79,Closed,High,1
284,14316,707042,14.44,36,19640.06,Default,Low,1
285,11821,1534472,10.83,72,21312.11,Default,Medium,0
286,8374,2137400,9.78,72,29686.11,Active,Medium,0
287,1036,644512,11.06,24,26854.67,Default,High,0
288,14618,583518,9.53,24,24313.25,Active,High,0
289,1745,718535,9.31,48,14969.48,Active,High,1
290,4897,888312,8.96,36,24675.33,Closed,Medium,1
291,10476,1217015,10.67,48,25354.48,Closed,Low,1
292,4011,1310906,11.98,60,21848.43,Active,High,1
293,3920,838438,11.26,72,11644.97,Closed,Low,1
294,1587,1185322,13.67,24,49388.42,Active,Low,0
295,8901,760615,9.52,60,12676.92,Default,Medium,0
296,4666,1451561,8.4,48,30240.85,Closed,Low,0
297,9605,1091053,10.65,24,45460.54,Active,Medium,0
298,6551,1779615,8.32,24,74150.62,Active,High,1
299,287,1844110,8.85,48,38418.96,Default,Medium,0
300,13776,1542586,10.32,24,64274.42,Active,High,0
301,13464,1247466,9.78,72,17325.92,Active,Medium,0
302,14750,1886124,7.6,36,52392.33,Active,High,0
303,10950,2332908,13.11,72,32401.5,Active,High,0
304,13325,801657,8.12,48,16701.19,Active,Medium,1
305,14439,745257,10.78,24,31052.38,Active,High,0
306,1624,2192448,10.1,24,91352,Active,Low,1
307,13414,1219199,12.81,60,20319.98,Active,High,1
308,352,864787,12.49,72,12010.93,Closed,High,1
309,14354,778628,11.05,60,12977.13,Default,High,0
310,3617,697449,12.57,24,29060.38,Active,High,1
311,567,678584,8.56,36,18849.56,Closed,Low,1
312,915,714429,8.75,24,29767.88,Active,High,0
313,4550,1168565,13.68,24,48690.21,Active,Medium,1
314,5782,1306406,11.85,36,36289.06,Active,Medium,0
315,2958,1010451,11.66,24,42102.12,Active,Medium,1
316,9225,2122703,11.38,24,88445.96,Active,Low,1
317,7835,1535259,10.81,72,21323.04,Active,Medium,1
318,11002,1146862,13.29,60,19114.37,Active,High,1
319,13959,1149732,14.39,24,47905.5,Active,Low,0
320,7744,886641,11.58,36,24628.92,Active,High,0
321,1580,794105,13.44,60,13235.08,Default,Medium,1
322,13888,2779587,10.63,48,57908.06,Active,Medium,1
323,1399,2296172,11.66,24,95673.83,Active,Medium,1
324,1531,2356187,8.94,48,49087.23,Active,High,0
325,13881,739744,13.93,60,12329.07,Active,Low,1
326,7794,736227,9.31,72,10225.38,Active,Low,0
327,5351,2175664,8.26,36,60435.11,Default,High,1
328,1625,914409,7.88,72,12700.12,Active,High,1
329,2526,1211521,12.75,36,33653.36,Active,Low,1
330,2228,2584711,12.58,72,35898.76,Active,High,1
331,488,1075252,14.48,60,17920.87,Active,High,1
332,3290,1042490,9.97,60,17374.83,Active,High,1
333,12693,935955,14.29,48,19499.06,Active,High,0
334,380,1482664,14.06,24,61777.67,Active,Medium,0
335,11276,1184791,11.09,24,49366.29,Default,Medium,0
336,2969,1871032,13.5,72,25986.56,Active,Medium,0
337,5041,1118207,8.02,36,31061.31,Active,High,0
338,14594,1337246,11.93,72,18572.86,Active,High,0
339,7306,520376,13,24,21682.33,Active,Low,0
340,358,1157870,12.32,72,16081.53,Default,High,0
341,10158,2048584,13.16,24,85357.67,Active,Medium,1
342,8300,1117360,14.29,48,23278.33,Active,Medium,1
343,10876,728858,13.66,72,10123.03,Active,Low,0
344,48,2179879,12.56,48,45414.15,Default,High,1
345,6313,1037982,11.88,60,17299.7,Default,Medium,0
346,11657,1275245,8.01,36,35423.47,Active,High,0
347,13568,2747350,12.7,72,38157.64,Active,High,0
348,709,639953,7.94,36,17776.47,Closed,Low,0
349,6299,838772,11.8,72,11649.61,Closed,Medium,0
350,3955,522486,11.13,72,7256.75,Closed,Medium,0
351,837,680058,12.11,72,9445.25,Active,High,1
352,11545,570528,7.61,48,11886,Active,Low,1
353,2343,1488356,13.16,60,24805.93,Closed,Medium,0
354,5730,910353,7.62,72,12643.79,Active,High,0
355,12131,1888067,12.45,36,52446.31,Active,Low,1
356,12437,552271,10.57,72,7670.43,Active,High,0
357,7542,1074614,9.61,24,44775.58,Active,Medium,1
358,7404,1065472,10.4,60,17757.87,Default,Medium,0
359,6339,640553,13.64,36,17793.14,Active,Medium,0
360,4961,2639399,8.86,72,36658.32,Closed,High,0
361,12361,1457903,14.29,72,20248.65,Active,High,0
362,13620,1073382,8.83,36,29816.17,Active,Low,0
363,14571,897751,10.45,72,12468.76,Closed,High,1
364,10369,846031,10.86,24,35251.29,Closed,High,1
365,12588,551999,10.08,60,9199.98,Active,Low,0
366,4392,1839265,13.8,48,38318.02,Active,High,1
367,8133,1057098,10.67,72,14681.92,Closed,Low,0
368,13437,1281179,10.89,36,35588.31,Active,Low,0
369,4901,1296333,9.52,48,27006.94,Default,Low,0
370,8608,550363,13.21,60,9172.72,Active,Medium,1
371,6082,1728187,11.37,48,36003.9,Active,High,1
372,7014,1502709,11.53,60,25045.15,Active,High,0
373,4059,1053958,12.01,48,21957.46,Active,Medium,1
374,6770,604831,13.84,60,10080.52,Closed,Medium,1
375,4922,2624509,13.1,48,54677.27,Closed,Medium,1
376,10991,1223177,12.59,48,25482.85,Active,Medium,0
377,11493,1619692,12.07,60,26994.87,Active,High,0
378,8684,1477099,13.57,48,30772.9,Default,Medium,1
379,4316,1224874,13.33,36,34024.28,Active,Low,0
380,4744,1240876,13.25,36,34468.78,Closed,Medium,1
381,13930,2125817,8.72,48,44287.85,Active,Low,1
382,3839,1424222,9.86,24,59342.58,Active,High,0
383,1255,2026690,10.71,60,33778.17,Default,High,0
384,4756,475410,13.04,60,7923.5,Active,Medium,1
385,1476,941508,11.99,48,19614.75,Active,High,1
386,14383,1411954,13.6,24,58831.42,Active,Low,0
387,12315,1399969,11.29,72,19444.01,Active,High,1
388,13925,748708,13.71,72,10398.72,Closed,High,1
389,4867,1133771,8.79,24,47240.46,Active,High,0
390,11157,1916331,13.73,60,31938.85,Active,High,0
391,14343,1787759,10.44,48,37244.98,Active,High,0
392,11095,487060,13.06,48,10147.08,Active,Medium,1
393,3939,584247,14.44,72,8114.54,Default,Low,1
394,10664,706249,12.42,24,29427.04,Active,High,0
395,305,2747049,8.51,72,38153.46,Active,Low,1
396,2324,1461159,8.12,36,40587.75,Active,High,0
397,8994,881840,10.91,24,36743.33,Active,Low,0
398,10916,1486153,11.78,24,61923.04,Active,Medium,1
399,14413,2058074,11.53,72,28584.36,Active,Medium,1
400,6487,2467086,12.29,48,51397.62,Active,Medium,1
401,14473,1117317,13.07,60,18621.95,Active,Low,1
402,13218,1143318,8.48,24,47638.25,Active,Medium,0
403,11793,1798159,7.52,60,29969.32,Active,High,1
404,6260,2130159,10.94,60,35502.65,Closed,Low,1
405,1740,800540,14.11,48,16677.92,Default,High,0
406,13157,883849,7.81,60,14730.82,Active,High,1
407,12670,1493678,11.53,36,41491.06,Active,High,1
408,6581,2061355,9.18,36,57259.86,Default,Low,0
409,13994,931352,10.48,60,15522.53,Active,Low,0
410,3275,766645,9.57,72,10647.85,Closed,High,0
411,10846,587786,9.12,36,16327.39,Active,Low,1
412,2168,1173865,12.72,36,32607.36,Active,High,1
413,1394,984546,8.12,60,16409.1,Active,High,0
414,5525,1516188,12.93,36,42116.33,Active,Medium,1
415,2544,667048,10.58,60,11117.47,Active,High,1
416,12802,469767,11.53,60,7829.45,Active,Low,0
417,7521,1808720,13.66,60,30145.33,Active,High,1
418,6007,765586,13.95,24,31899.42,Active,High,1
419,1271,1187992,8.08,36,32999.78,Default,Low,1
420,2141,1360155,11.18,72,18891.04,Default,High,0
421,13550,1257160,9.01,60,20952.67,Default,High,1
422,6804,827799,12.09,48,17245.81,Default,High,0
423,13562,577377,13.66,24,24057.38,Closed,Medium,0
424,6265,893644,12.56,60,14894.07,Default,Low,0
425,14712,1216737,9.37,72,16899.12,Active,Low,1
426,6787,968362,13.81,36,26898.94,Active,Medium,0
427,9943,745772,13.46,36,20715.89,Active,Low,0
428,6905,1036558,13.91,24,43189.92,Active,High,1
429,11710,1226178,12.83,60,20436.3,Closed,Medium,1
430,11275,1680692,8.29,24,70028.83,Closed,Low,1
431,8935,1902325,10.79,72,26421.18,Default,Low,0
432,14785,1142627,7.67,48,23804.73,Active,Low,1
433,8599,543071,10.26,72,7542.65,Closed,Medium,1
434,14469,1434126,9.09,60,23902.1,Active,High,1
435,7945,2109644,7.8,48,43950.92,Active,Low,0
436,2391,2078451,12.35,36,57734.75,Active,Low,0
437,9484,1189355,12.99,36,33037.64,Default,Medium,1
438,7064,882414,13.18,36,24511.5,Active,Low,0
439,9560,2795307,13.1,36,77647.42,Active,High,0
440,13919,664851,9.88,48,13851.06,Default,Medium,1
441,9932,702031,8.73,36,19500.86,Active,High,1
442,7043,1133742,8.68,24,47239.25,Closed,High,1
443,12521,1175206,7.84,60,19586.77,Active,Medium,0
444,12405,947149,9.8,36,26309.69,Closed,High,1
445,8216,2234320,9.19,60,37238.67,Active,Low,0
446,6052,2000584,9.44,72,27785.89,Active,High,1
447,6978,1383804,11.47,48,28829.25,Closed,Medium,1
448,13302,1982914,12.88,60,33048.57,Default,Medium,0
449,6271,770847,9.15,48,16059.31,Active,Medium,0
450,7454,2145141,9.13,24,89380.88,Closed,Medium,0
451,7272,561886,10.38,24,23411.92,Active,High,0
452,12369,2064201,11.01,72,28669.46,Active,High,1
453,4124,1322762,13.45,48,27557.54,Active,Medium,0
454,1140,1089165,8.13,36,30254.58,Closed,High,1
455,5293,668609,10.59,24,27858.71,Default,High,1
456,7748,1255226,10.1,24,52301.08,Closed,Low,1
457,12715,673198,13.06,72,9349.97,Active,Medium,0
458,10264,692370,7.52,36,19232.5,Active,Medium,1
459,11274,1123578,12.26,72,15605.25,Active,Low,1
460,5529,1963896,13.83,72,27276.33,Active,Medium,1
461,829,2064143,14.18,24,86005.96,Active,Low,1
462,14683,2470242,7.99,36,68617.83,Default,Medium,0
463,3754,1317138,13.95,72,18293.58,Closed,High,0
464,7641,1639178,13.86,48,34149.54,Active,Low,0
465,12037,2028600,7.71,36,56350,Active,High,1
466,12215,959773,8.72,60,15996.22,Closed,High,1
467,1262,908122,11.54,36,25225.61,Active,High,0
468,4442,642717,11.32,60,10711.95,Active,High,0
469,8582,2610567,14.49,24,108773.62,Closed,Low,1
470,7248,900684,10.17,48,18764.25,Closed,Low,0
471,11624,1152675,13.22,60,19211.25,Active,High,0
472,9821,1970249,12.51,48,41046.85,Closed,Low,0
473,11514,1412214,8.53,48,29421.12,Active,High,1
474,14428,1080926,10.22,60,18015.43,Active,High,0
475,2590,815510,10.51,24,33979.58,Active,Low,0
476,14005,1008937,12.06,72,14013.01,Active,High,0
477,7325,1325924,12.44,48,27623.42,Active,High,0
478,9404,1036333,12.62,36,28787.03,Active,Medium,1
479,11844,1168669,11.81,48,24347.27,Active,Medium,0
480,5407,1006380,9.21,24,41932.5,Default,Low,1
481,2803,573164,12.12,60,9552.73,Active,Medium,0
482,6424,715539,9.03,72,9938.04,Active,Medium,0
483,5795,532143,13.08,36,14781.75,Active,Low,0
484,2685,914016,11.66,24,38084,Closed,Low,1
485,9903,1243213,13.12,72,17266.85,Default,Low,1
486,8818,1333695,7.8,36,37047.08,Default,High,0
487,3308,668288,8.37,24,27845.33,Active,Low,0
488,13899,1749272,12.4,60,29154.53,Closed,Low,0
489,4863,2432108,12.9,48,50668.92,Closed,Medium,0
490,9738,1014437,13.61,72,14089.4,Closed,Medium,1
491,477,1649886,10.82,36,45830.17,Default,Low,1
492,11397,907605,11.64,36,25211.25,Default,Low,0
493,4562,961998,10.29,72,13361.08,Closed,High,1
494,8197,1076423,8.53,60,17940.38,Closed,Low,0
495,2010,877479,12.69,60,14624.65,Active,Low,0
496,4116,950277,12.32,24,39594.88,Closed,Low,1
497,9595,974643,12.1,24,40610.12,Active,Medium,0
498,8789,671328,12.36,48,13986,Active,High,1
499,4707,722135,7.88,60,12035.58,Active,High,1
500,340,1466170,12.78,36,40726.94,Default,Medium,0
501,3805,1796365,7.73,48,37424.27,Closed,High,1
502,7515,652967,13.98,24,27206.96,Active,High,0
503,1684,750821,13.71,72,10428.07,Default,Medium,1
